Nodes:
ID, X, Y, Z
495, 33.800, 4.000, 0.000
496, 33.100, 4.500, 0.000
497, 32.400, 5.000, 0.000
498, 31.700, 5.500, 0.000
499, 31.000, 6.000, 0.000
500, 30.300, 6.500, 0.000
501, 29.600, 7.000, 0.000
502, 28.900, 7.500, 0.000
503, 28.200, 8.000, 0.000
504, 27.500, 8.500, 0.000
505, 26.800, 9.000, 0.000
506, 26.100, 9.500, 0.000
507, 40.750, 0.500, 0.000
508, 40.000, 1.000, 0.000
509, 39.250, 1.500, 0.000
510, 38.500, 2.000, 0.000
511, 37.750, 2.500, 0.000
512, 37.000, 3.000, 0.000
513, 36.250, 3.500, 0.000
514, 35.500, 4.000, 0.000
515, 34.750, 4.500, 0.000
516, 34.000, 5.000, 0.000
517, 33.250, 5.500, 0.000
518, 32.500, 6.000, 0.000
519, 31.750, 6.500, 0.000
520, 31.000, 7.000, 0.000
521, 30.250, 7.500, 0.000
522, 29.500, 8.000, 0.000
523, 28.750, 8.500, 0.000
524, 28.000, 9.000, 0.000
525, 27.250, 9.500, 0.000
526, 42.800, 0.500, 0.000
527, 42.000, 1.000, 0.000
528, 41.200, 1.500, 0.000
529, 40.400, 2.000, 0.000
530, 39.600, 2.500, 0.000
531, 38.800, 3.000, 0.000
532, 38.000, 3.500, 0.000
533, 37.200, 4.000, 0.000
534, 36.400, 4.500, 0.000
535, 35.600, 5.000, 0.000
536, 34.800, 5.500, 0.000
537, 34.000, 6.000, 0.000
538, 33.200, 6.500, 0.000
539, 32.400, 7.000, 0.000
540, 31.600, 7.500, 0.000
541, 30.800, 8.000, 0.000
542, 30.000, 8.500, 0.000
543, 29.200, 9.000, 0.000
544, 28.400, 9.500, 0.000
545, 44.850, 0.500, 0.000
546, 44.000, 1.000, 0.000
547, 43.150, 1.500, 0.000
548, 42.300, 2.000, 0.000
549, 41.450, 2.500, 0.000
550, 40.600, 3.000, 0.000
551, 39.750, 3.500, 0.000
552, 38.900, 4.000, 0.000
553, 38.050, 4.500, 0.000
554, 37.200, 5.000, 0.000
555, 36.350, 5.500, 0.000
