dts,Node_264,Node_449,Node_909
6.71,0.359382,0.197335,0.0478797
6.72,0.359963,0.198624,0.049193
6.73,0.360538,0.199867,0.0504643
6.74,0.361093,0.201065,0.051687
6.75,0.361635,0.202214,0.0528486
6.76,0.362141,0.203307,0.0539307
6.77,0.362596,0.204347,0.0549361
6.78,0.363012,0.205343,0.0558712
6.79,0.363376,0.206304,0.056736
6.8,0.363652,0.207229,0.0575288
6.81,0.363823,0.208115,0.0582384
6.82,0.363885,0.20895,0.0588569
6.83,0.363838,0.209711,0.0593686
6.84,0.363694,0.210372,0.0597568
6.85,0.363511,0.210912,0.0600113
6.86,0.363326,0.211316,0.0601212
