dts,Node_5,Node_80,Node_6,Node_108
5.59,-0.000278768,-0.0136597,-0.0202485,-0.0130177
5.6,0.000202054,-0.0130589,-0.0196764,-0.0124375
5.61,0.000748514,-0.0123936,-0.0190519,-0.0117464
5.62,0.00137674,-0.0116848,-0.0183766,-0.0110003
5.63,0.00203901,-0.010915,-0.0176548,-0.0102563
5.64,0.00268077,-0.0100682,-0.0169121,-0.00951718
5.65,0.00327991,-0.00918208,-0.0161489,-0.00875956
5.66,0.00384151,-0.0083416,-0.0153197,-0.00798853
5.67,0.00438265,-0.00760849,-0.0144311,-0.00723966
5.68,0.0048668,-0.00700864,-0.0135725,-0.006559
5.69,0.00524373,-0.00655096,-0.0128397,-0.00599241
5.7,0.0054772,-0.00621869,-0.0122971,-0.00558315
5.71,0.00553822,-0.006006,-0.0119751,-0.00535565
5.72,0.00540929,-0.00592134,-0.0118511,-0.0053034
5.73,0.00509962,-0.00598916,-0.0118948,-0.0053881
5.74,0.00464942,-0.0062384,-0.012085,-0.00558504
5.75,0.00410294,-0.006661,-0.0124073,-0.00588834
5.76,0.00348711,-0.00722675,-0.0128659,-0.00627462
5.77,0.0028085,-0.00788628,-0.0134475,-0.0067169
5.78,0.00209439,-0.00860888,-0.0141107,-0.00717248
5.79,0.00138308,-0.00936859,-0.0148065,-0.00761055
5.8,0.000701973,-0.0101325,-0.0155161,-0.00803811
5.81,5.98854e-05,-0.0108678,-0.0162534,-0.00846703
5.82,-0.000528385,-0.0115575,-0.0170078,-0.00890969
