Nodes:
ID, X, Y, Z
216, 1.175, 4.250, 0.000
217, 1.150, 4.500, 0.000
218, 1.125, 4.750, 0.000
219, 1.100, 5.000, 0.000
220, 1.075, 5.250, 0.000
221, 1.050, 5.500, 0.000
222, 1.025, 5.750, 0.000
223, 1.000, 6.000, 0.000
224, 0.975, 6.250, 0.000
225, 0.950, 6.500, 0.000
226, 0.925, 6.750, 0.000
227, 0.900, 7.000, 0.000
228, 0.875, 7.250, 0.000
229, 0.850, 7.500, 0.000
230, 0.825, 7.750, 0.000
231, 0.800, 8.000, 0.000
232, 0.775, 8.250, 0.000
233, 0.750, 8.500, 0.000
234, 0.725, 8.750, 0.000
235, 0.700, 9.000, 0.000
236, 0.675, 9.250, 0.000
237, 0.650, 9.500, 0.000
238, 0.625, 9.750, 0.000
239, 2.362, 0.250, 0.000
240, 2.325, 0.500, 0.000
241, 2.287, 0.750, 0.000
242, 2.250, 1.000, 0.000
243, 2.212, 1.250, 0.000
244, 2.175, 1.500, 0.000
245, 2.137, 1.750, 0.000
246, 2.100, 2.000, 0.000
247, 2.062, 2.250, 0.000
248, 2.025, 2.500, 0.000
249, 1.987, 2.750, 0.000
250, 1.950, 3.000, 0.000
251, 1.912, 3.250, 0.000
252, 1.875, 3.500, 0.000
253, 1.837, 3.750, 0.000
254, 1.800, 4.000, 0.000
255, 1.762, 4.250, 0.000
256, 1.725, 4.500, 0.000
257, 1.687, 4.750, 0.000
258, 1.650, 5.000, 0.000
259, 1.612, 5.250, 0.000
260, 1.575, 5.500, 0.000
261, 1.537, 5.750, 0.000
262, 1.500, 6.000, 0.000
263, 1.462, 6.250, 0.000
264, 1.425, 6.500, 0.000
265, 1.388, 6.750, 0.000
266, 1.350, 7.000, 0.000
267, 1.313, 7.250, 0.000
268, 1.275, 7.500, 0.000
269, 1.238, 7.750, 0.000
270, 1.200, 8.000, 0.000
271, 1.163, 8.250, 0.000
272, 1.125, 8.500, 0.000
273, 1.088, 8.750, 0.000
274, 1.050, 9.000, 0.000
275, 1.013, 9.250, 0.000
276, 0.975, 9.500, 0.000
277, 0.938, 9.750, 0.000
278, 3.150, 0.250, 0.000
279, 3.100, 0.500, 0.000
280, 3.050, 0.750, 0.000
281, 3.000, 1.000, 0.000
282, 2.950, 1.250, 0.000
283, 2.900, 1.500, 0.000
284, 2.850, 1.750, 0.000
285, 2.800, 2.000, 0.000
286, 2.750, 2.250, 0.000
287, 2.700, 2.500, 0.000
288, 2.650, 2.750, 0.000
289, 2.600, 3.000, 0.000
290, 2.550, 3.250, 0.000
291, 2.500, 3.500, 0.000
292, 2.450, 3.750, 0.000
293, 2.400, 4.000, 0.000
294, 2.350, 4.250, 0.000
295, 2.300, 4.500, 0.000
296, 2.250, 4.750, 0.000
297, 2.200, 5.000, 0.000
298, 2.150, 5.250, 0.000
299, 2.100, 5.500, 0.000
300, 2.050, 5.750, 0.000
301, 2.000, 6.000, 0.000
302, 1.950, 6.250, 0.000
303, 1.900, 6.500, 0.000
304, 1.850, 6.750, 0.000
305, 1.800, 7.000, 0.000
306, 1.750, 7.250, 0.000
307, 1.700, 7.500, 0.000
308, 1.650, 7.750, 0.000
309, 1.600, 8.000, 0.000
310, 1.550, 8.250, 0.000
311, 1.500, 8.500, 0.000
312, 1.450, 8.750, 0.000
313, 1.400, 9.000, 0.000
314, 1.350, 9.250, 0.000
315, 1.300, 9.500, 0.000
316, 1.250, 9.750, 0.000
317, 3.937, 0.250, 0.000
318, 3.875, 0.500, 0.000
319, 3.812, 0.750, 0.000
320, 3.750, 1.000, 0.000
321, 3.687, 1.250, 0.000
322, 3.625, 1.500, 0.000
323, 3.562, 1.750, 0.000
324, 3.500, 2.000, 0.000
325, 3.437, 2.250, 0.000
326, 3.375, 2.500, 0.000
327, 3.312, 2.750, 0.000
328, 3.250, 3.000, 0.000
329, 3.187, 3.250, 0.000
330, 3.125, 3.500, 0.000
331, 3.062, 3.750, 0.000
332, 3.000, 4.000, 0.000
